N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,10,65,0.5925767292,31.83,3
9,10,10,75,0.5921773295,29.88,3
9,10,10,85,0.5920737568,27.9,3
9,10,110,5,6.444931674,48.33841561,3
9,10,110,15,6.468095238,46.4907036,3
9,10,110,25,6.494584089,44.61,3
9,10,110,35,6.513707388,42.7707036,3
9,10,110,45,6.532981916,40.92,3
9,10,110,55,6.54881058,39.0807036,3
9,10,110,65,6.564897754,37.23,3
9,10,110,75,6.570020428,35.43,3
9,10,110,85,6.578443515,33.6,3
9,10,210,5,12.29489761,49.53,3
9,10,210,15,12.34197798,47.7207036,3
9,10,210,25,12.38411891,45.9207036,3
9,10,210,35,12.42942084,44.1,3
9,10,210,45,12.46640665,42.3,3
9,10,210,55,12.49625313,40.51422524,3
9,10,210,65,12.52240595,38.73,3
9,10,210,75,12.54046557,36.96,3
9,10,210,85,12.5495005,35.20474557,3
9,10,310,5,18.13248249,50.23066499,3
9,10,310,15,18.19958775,48.45841561,3
9,10,310,25,18.2655134,46.68,3
9,10,310,35,18.32457845,44.91,3
9,10,310,45,18.3798983,43.14,3
9,10,310,55,18.41816664,41.4,3
9,10,310,65,18.45581432,39.6507036,3
9,10,310,75,18.47984617,37.92,3
9,10,310,85,18.49265658,36.2007036,3
9,10,410,5,23.94974547,50.73841561,3
9,10,410,15,24.03777504,48.99,3
9,10,410,25,24.12229113,47.23958926,3
9,10,410,35,24.19128362,45.51,3
9,10,410,45,24.26066283,43.77,3
9,10,410,55,24.30781868,42.06,3
9,10,410,65,24.34862534,40.35,3
9,10,410,75,24.38308028,38.64,3
9,10,410,85,24.39759271,36.9507036,3
9,10,510,5,29.75177192,51.12851268,3
9,10,510,15,29.8491747,49.41841561,3
9,10,510,25,29.94555547,47.7,3
9,10,510,35,30.03057637,45.99,3
9,10,510,45,30.10932537,44.28,3
9,10,510,55,30.16058942,42.6,3
9,10,510,65,30.21083634,40.9107036,3
9,10,510,75,30.23949288,39.24,3
9,10,510,85,30.25064559,37.5807036,3
9,10,610,5,35.52908268,51.45841561,3
9,10,610,15,35.63508297,49.77841561,3
9,10,610,25,35.75393656,48.07066499,3
9,10,610,35,35.83732362,46.4007036,3
9,10,610,45,35.93703553,44.7,3
9,10,610,55,35.9880216,43.05,3
9,10,610,65,36.0177787,41.4133963,3
9,10,610,75,36.06145897,39.75,3
9,10,610,85,36.05596579,38.13,3
9,10,710,5,41.2701893,51.76066499,3
9,10,710,15,41.41325054,50.07,3
9,10,710,25,41.51439548,48.42,3
9,10,710,35,41.61433132,46.7607036,3
9,10,710,45,41.69686886,45.1107036,3
9,10,710,55,41.761195,43.47,3
9,10,710,65,41.80438769,41.8407036,3
9,10,710,75,41.79643648,40.2507036,3
9,10,710,85,41.77530839,38.6607036,3
9,10,810,5,46.98704499,52.02841561,3
9,10,810,15,47.13116997,50.37,3
9,10,810,25,47.25836284,48.72,3
9,10,810,35,47.37636973,47.07,3
9,10,810,45,47.43255205,45.4707036,3
9,10,810,55,47.49865338,43.8507036,3
